naughty  becomes       charsets
0x2327   0x235C 0x27   UCS-2 [⍜] UCS-2BE [⍜] UCS-2LE [尣] UTF-16 [⍜] UTF-16BE [⍜] UTF-16LE [尣]
0x2427   0x245C 0x27   UCS-2 [⑜] UCS-2BE [⑜] UCS-2LE [尤] UTF-16 [⑜] UTF-16BE [⑜] UTF-16LE [尤]
0x2527   0x255C 0x27   UCS-2 [╜] UCS-2BE [╜] UCS-2LE [尥] UTF-16 [╜] UTF-16BE [╜] UTF-16LE [尥]
0x2627   0x265C 0x27   UCS-2 [♜] UCS-2BE [♜] UCS-2LE [尦] UTF-16 [♜] UTF-16BE [♜] UTF-16LE [尦] UTF7-IMAP [\]
0x2727   0x275C 0x27   UCS-2 [❜] UCS-2BE [❜] UCS-2LE [尧] UTF-16 [❜] UTF-16BE [❜] UTF-16LE [尧]
0x2827   0x285C 0x27   UCS-2 [⡜] UCS-2BE [⡜] UCS-2LE [尨] UTF-16 [⡜] UTF-16BE [⡜] UTF-16LE [尨]
0x2927   0x295C 0x27   UCS-2 [⥜] UCS-2BE [⥜] UCS-2LE [尩] UTF-16 [⥜] UTF-16BE [⥜] UTF-16LE [尩]
0x2A27   0x2A5C 0x27   UCS-2 [⩜] UCS-2BE [⩜] UCS-2LE [尪] UTF-16 [⩜] UTF-16BE [⩜] UTF-16LE [尪]
0x2B27   0x2B5C 0x27   UCS-2 [⭜] UCS-2BE [⭜] UCS-2LE [尫] UTF-16 [⭜] UTF-16BE [⭜] UTF-16LE [尫] UTF-7 [\]
0x2C27   0x2C5C 0x27   UCS-2 [ⱜ] UCS-2BE [ⱜ] UCS-2LE [尬] UTF-16 [ⱜ] UTF-16BE [ⱜ] UTF-16LE [尬]
0x2D27   0x2D5C 0x27   UCS-2 [ⵜ] UCS-2BE [ⵜ] UCS-2LE [尭] UTF-16 [ⵜ] UTF-16BE [ⵜ] UTF-16LE [尭]
0x2E27   0x2E5C 0x27   UCS-2 [⹜] UCS-2BE [⹜] UCS-2LE [尮] UTF-16 [⹜] UTF-16BE [⹜] UTF-16LE [尮]
0x2F27   0x2F5C 0x27   UCS-2 [⽜] UCS-2BE [⽜] UCS-2LE [尯] UTF-16 [⽜] UTF-16BE [⽜] UTF-16LE [尯]
0x3027   0x305C 0x27   UCS-2 [ぜ] UCS-2BE [ぜ] UCS-2LE [尰] UTF-16 [ぜ] UTF-16BE [ぜ] UTF-16LE [尰]
0x3127   0x315C 0x27   UCS-2 [ㅜ] UCS-2BE [ㅜ] UCS-2LE [就] UTF-16 [ㅜ] UTF-16BE [ㅜ] UTF-16LE [就]
0x3227   0x325C 0x27   UCS-2 [㉜] UCS-2BE [㉜] UCS-2LE [尲] UTF-16 [㉜] UTF-16BE [㉜] UTF-16LE [尲]
0x3327   0x335C 0x27   UCS-2 [㍜] UCS-2BE [㍜] UCS-2LE [尳] UTF-16 [㍜] UTF-16BE [㍜] UTF-16LE [尳]
0x3427   0x345C 0x27   UCS-2 [㑜] UCS-2BE [㑜] UCS-2LE [尴] UTF-16 [㑜] UTF-16BE [㑜] UTF-16LE [尴]
0x3527   0x355C 0x27   UCS-2 [㕜] UCS-2BE [㕜] UCS-2LE [尵] UTF-16 [㕜] UTF-16BE [㕜] UTF-16LE [尵]
0x3627   0x365C 0x27   UCS-2 [㙜] UCS-2BE [㙜] UCS-2LE [尶] UTF-16 [㙜] UTF-16BE [㙜] UTF-16LE [尶]
0x3727   0x375C 0x27   UCS-2 [㝜] UCS-2BE [㝜] UCS-2LE [尷] UTF-16 [㝜] UTF-16BE [㝜] UTF-16LE [尷]
0x3827   0x385C 0x27   UCS-2 [㡜] UCS-2BE [㡜] UCS-2LE [尸] UTF-16 [㡜] UTF-16BE [㡜] UTF-16LE [尸]
0x3927   0x395C 0x27   UCS-2 [㥜] UCS-2BE [㥜] UCS-2LE [尹] UTF-16 [㥜] UTF-16BE [㥜] UTF-16LE [尹]
0x3A27   0x3A5C 0x27   UCS-2 [㩜] UCS-2BE [㩜] UCS-2LE [尺] UTF-16 [㩜] UTF-16BE [㩜] UTF-16LE [尺]
0x3B27   0x3B5C 0x27   UCS-2 [㭜] UCS-2BE [㭜] UCS-2LE [尻] UTF-16 [㭜] UTF-16BE [㭜] UTF-16LE [尻]
0x3C27   0x3C5C 0x27   UCS-2 [㱜] UCS-2BE [㱜] UCS-2LE [尼] UTF-16 [㱜] UTF-16BE [㱜] UTF-16LE [尼]
0x3D27   0x3D5C 0x27   UCS-2 [㵜] UCS-2BE [㵜] UCS-2LE [尽] UTF-16 [㵜] UTF-16BE [㵜] UTF-16LE [尽]
0x3E27   0x3E5C 0x27   UCS-2 [㹜] UCS-2BE [㹜] UCS-2LE [尾] UTF-16 [㹜] UTF-16BE [㹜] UTF-16LE [尾]
0x3F27   0x3F5C 0x27   UCS-2 [㽜] UCS-2BE [㽜] UCS-2LE [尿] UTF-16 [㽜] UTF-16BE [㽜] UTF-16LE [尿]
0x4027   0x405C 0x27   UCS-2 [䁜] UCS-2BE [䁜] UCS-2LE [局] UTF-16 [䁜] UTF-16BE [䁜] UTF-16LE [局]
0x4127   0x415C 0x27   UCS-2 [䅜] UCS-2BE [䅜] UCS-2LE [屁] UTF-16 [䅜] UTF-16BE [䅜] UTF-16LE [屁]
0x4227   0x425C 0x27   UCS-2 [䉜] UCS-2BE [䉜] UCS-2LE [层] UTF-16 [䉜] UTF-16BE [䉜] UTF-16LE [层]
0x4327   0x435C 0x27   UCS-2 [䍜] UCS-2BE [䍜] UCS-2LE [屃] UTF-16 [䍜] UTF-16BE [䍜] UTF-16LE [屃]
0x4427   0x445C 0x27   UCS-2 [䑜] UCS-2BE [䑜] UCS-2LE [屄] UTF-16 [䑜] UTF-16BE [䑜] UTF-16LE [屄]
0x4527   0x455C 0x27   UCS-2 [䕜] UCS-2BE [䕜] UCS-2LE [居] UTF-16 [䕜] UTF-16BE [䕜] UTF-16LE [居]
0x4627   0x465C 0x27   UCS-2 [䙜] UCS-2BE [䙜] UCS-2LE [屆] UTF-16 [䙜] UTF-16BE [䙜] UTF-16LE [屆]
0x4727   0x475C 0x27   UCS-2 [䝜] UCS-2BE [䝜] UCS-2LE [屇] UTF-16 [䝜] UTF-16BE [䝜] UTF-16LE [屇]
