naughty  becomes       charsets
0x8727   0x875C 0x27   UCS-2 [蝜] UCS-2BE [蝜] UCS-2LE [岇] UTF-16 [蝜] UTF-16BE [蝜] UTF-16LE [岇] SJIS [?] SJIS-win [Ⅸ] SJIS-Mobile#DOCOMO [Ⅸ] SJIS-Mobile#KDDI [Ⅸ] SJIS-Mobile#SOFTBANK [Ⅸ] SJIS-mac [?] SJIS-2004 [Ⅸ] CP932 [Ⅸ] GB18030 [嘰] CP936 [嘰] BIG-5 [?\] CP950 [] UHC [?]
0x8827   0x885C 0x27   UCS-2 [衜] UCS-2BE [衜] UCS-2LE [岈] UTF-16 [衜] UTF-16BE [衜] UTF-16LE [岈] SJIS [?] SJIS-win [?] SJIS-Mobile#DOCOMO [?] SJIS-Mobile#KDDI [?] SJIS-Mobile#SOFTBANK [?] SJIS-mac [?] SJIS-2004 [嚬] CP932 [?] GB18030 [圽] CP936 [圽] BIG-5 [?\] CP950 [] UHC [?]
0x8927   0x895C 0x27   UCS-2 [襜] UCS-2BE [襜] UCS-2LE [岉] UTF-16 [襜] UTF-16BE [襜] UTF-16LE [岉] SJIS [噂] SJIS-win [噂] SJIS-Mobile#DOCOMO [噂] SJIS-Mobile#KDDI [噂] SJIS-Mobile#SOFTBANK [噂] SJIS-mac [噂] SJIS-2004 [噂] CP932 [噂] GB18030 [塡] CP936 [塡] BIG-5 [?\] CP950 [] UHC [?]
0x8A27   0x8A5C 0x27   UCS-2 [詜] UCS-2BE [詜] UCS-2LE [岊] UTF-16 [詜] UTF-16BE [詜] UTF-16LE [岊] SJIS [浬] SJIS-win [浬] SJIS-Mobile#DOCOMO [浬] SJIS-Mobile#KDDI [浬] SJIS-Mobile#SOFTBANK [浬] SJIS-mac [浬] SJIS-2004 [浬] CP932 [浬] GB18030 [奬] CP936 [奬] BIG-5 [?\] CP950 [] UHC [?]
0x8B27   0x8B5C 0x27   UCS-2 [譜] UCS-2BE [譜] UCS-2LE [岋] UTF-16 [譜] UTF-16BE [譜] UTF-16LE [岋] SJIS [欺] SJIS-win [欺] SJIS-Mobile#DOCOMO [欺] SJIS-Mobile#KDDI [欺] SJIS-Mobile#SOFTBANK [欺] SJIS-mac [欺] SJIS-2004 [欺] CP932 [欺] GB18030 [媆] CP936 [媆] BIG-5 [?\] CP950 [] UHC [?]
0x8C27   0x8C5C 0x27   UCS-2 [豜] UCS-2BE [豜] UCS-2LE [岌] UTF-16 [豜] UTF-16BE [豜] UTF-16LE [岌] SJIS [圭] SJIS-win [圭] SJIS-Mobile#DOCOMO [圭] SJIS-Mobile#KDDI [圭] SJIS-Mobile#SOFTBANK [圭] SJIS-mac [圭] SJIS-2004 [圭] CP932 [圭] GB18030 [孿] CP936 [孿] BIG-5 [?\] CP950 [] UHC [?]
0x8D27   0x8D5C 0x27   UCS-2 [赜] UCS-2BE [赜] UCS-2LE [岍] UTF-16 [赜] UTF-16BE [赜] UTF-16LE [岍] SJIS [構] SJIS-win [構] SJIS-Mobile#DOCOMO [構] SJIS-Mobile#KDDI [構] SJIS-Mobile#SOFTBANK [構] SJIS-mac [構] SJIS-2004 [構] CP932 [構] GB18030 [峔] CP936 [峔] BIG-5 [?\] CP950 [] UHC [?]
0x8E27   0x8E5C 0x27   UCS-2 [蹜] UCS-2BE [蹜] UCS-2LE [岎] UTF-16 [蹜] UTF-16BE [蹜] UTF-16LE [岎] EUC-JP [?] SJIS [蚕] eucJP-win [?] EUC-JP-2004 [?] SJIS-win [蚕] SJIS-Mobile#DOCOMO [蚕] SJIS-Mobile#KDDI [蚕] SJIS-Mobile#SOFTBANK [蚕] SJIS-mac [蚕] SJIS-2004 [蚕] CP932 [蚕] CP51932 [?] GB18030 [嶾] CP936 [嶾] EUC-TW [?] BIG-5 [?\] CP950 [] UHC [?]
0x8F27   0x8F5C 0x27   UCS-2 [轜] UCS-2BE [轜] UCS-2LE [岏] UTF-16 [轜] UTF-16BE [轜] UTF-16LE [岏] EUC-JP [] SJIS [十] eucJP-win [] EUC-JP-2004 [?] SJIS-win [十] SJIS-Mobile#DOCOMO [十] SJIS-Mobile#KDDI [十] SJIS-Mobile#SOFTBANK [十] SJIS-mac [十] SJIS-2004 [十] CP932 [十] GB18030 [廫] CP936 [廫] BIG-5 [?\] CP950 [] UHC [?]
0x9027   0x905C 0x27   UCS-2 [遜] UCS-2BE [遜] UCS-2LE [岐] UTF-16 [遜] UTF-16BE [遜] UTF-16LE [岐] SJIS [申] SJIS-win [申] SJIS-Mobile#DOCOMO [申] SJIS-Mobile#KDDI [申] SJIS-Mobile#SOFTBANK [申] SJIS-mac [申] SJIS-2004 [申] CP932 [申] GB18030 [怽] CP936 [怽] BIG-5 [?\] CP950 [] UHC [?]
0x9127   0x915C 0x27   UCS-2 [酜] UCS-2BE [酜] UCS-2LE [岑] UTF-16 [酜] UTF-16BE [酜] UTF-16LE [岑] SJIS [曾] SJIS-win [曾] SJIS-Mobile#DOCOMO [曾] SJIS-Mobile#KDDI [曾] SJIS-Mobile#SOFTBANK [曾] SJIS-mac [曾] SJIS-2004 [曾] CP932 [曾] GB18030 [慭] CP936 [慭] BIG-5 [?\] CP950 [] UHC [?]
0x9227   0x925C 0x27   UCS-2 [鉜] UCS-2BE [鉜] UCS-2LE [岒] UTF-16 [鉜] UTF-16BE [鉜] UTF-16LE [岒] SJIS [箪] SJIS-win [箪] SJIS-Mobile#DOCOMO [箪] SJIS-Mobile#KDDI [箪] SJIS-Mobile#SOFTBANK [箪] SJIS-mac [箪] SJIS-2004 [箪] CP932 [箪] GB18030 [抃] CP936 [抃] BIG-5 [?\] CP950 [] UHC [?]
0x9327   0x935C 0x27   UCS-2 [鍜] UCS-2BE [鍜] UCS-2LE [岓] UTF-16 [鍜] UTF-16BE [鍜] UTF-16LE [岓] SJIS [貼] SJIS-win [貼] SJIS-Mobile#DOCOMO [貼] SJIS-Mobile#KDDI [貼] SJIS-Mobile#SOFTBANK [貼] SJIS-mac [貼] SJIS-2004 [貼] CP932 [貼] GB18030 [揬] CP936 [揬] BIG-5 [?\] CP950 [] UHC [?]
0x9427   0x945C 0x27   UCS-2 [鑜] UCS-2BE [鑜] UCS-2LE [岔] UTF-16 [鑜] UTF-16BE [鑜] UTF-16LE [岔] SJIS [能] SJIS-win [能] SJIS-Mobile#DOCOMO [能] SJIS-Mobile#KDDI [能] SJIS-Mobile#SOFTBANK [能] SJIS-mac [能] SJIS-2004 [能] CP932 [能] GB18030 [擻] CP936 [擻] BIG-5 [?\] CP950 [] UHC [?]
0x9527   0x955C 0x27   UCS-2 [镜] UCS-2BE [镜] UCS-2LE [岕] UTF-16 [镜] UTF-16BE [镜] UTF-16LE [岕] SJIS [表] SJIS-win [表] SJIS-Mobile#DOCOMO [表] SJIS-Mobile#KDDI [表] SJIS-Mobile#SOFTBANK [表] SJIS-mac [表] SJIS-2004 [表] CP932 [表] GB18030 [昞] CP936 [昞] BIG-5 [?\] CP950 [] UHC [?]
0x9627   0x965C 0x27   UCS-2 [陜] UCS-2BE [陜] UCS-2LE [岖] UTF-16 [陜] UTF-16BE [陜] UTF-16LE [岖] SJIS [暴] SJIS-win [暴] SJIS-Mobile#DOCOMO [暴] SJIS-Mobile#KDDI [暴] SJIS-Mobile#SOFTBANK [暴] SJIS-mac [暴] SJIS-2004 [暴] CP932 [暴] GB18030 [朶] CP936 [朶] BIG-5 [?\] CP950 [] UHC [?]
0x9727   0x975C 0x27   UCS-2 [靜] UCS-2BE [靜] UCS-2LE [岗] UTF-16 [靜] UTF-16BE [靜] UTF-16LE [岗] SJIS [予] SJIS-win [予] SJIS-Mobile#DOCOMO [予] SJIS-Mobile#KDDI [予] SJIS-Mobile#SOFTBANK [予] SJIS-mac [予] SJIS-2004 [予] CP932 [予] GB18030 [梊] CP936 [梊] BIG-5 [?\] CP950 [] UHC [?]
0x9827   0x985C 0x27   UCS-2 [顜] UCS-2BE [顜] UCS-2LE [岘] UTF-16 [顜] UTF-16BE [顜] UTF-16LE [岘] SJIS [禄] SJIS-win [禄] SJIS-Mobile#DOCOMO [禄] SJIS-Mobile#KDDI [禄] SJIS-Mobile#SOFTBANK [禄] SJIS-mac [禄] SJIS-2004 [禄] CP932 [禄] GB18030 [榎] CP936 [榎] BIG-5 [?\] CP950 [] UHC [?]
0x9927   0x995C 0x27   UCS-2 [饜] UCS-2BE [饜] UCS-2LE [岙] UTF-16 [饜] UTF-16BE [饜] UTF-16LE [岙] SJIS [兔] SJIS-win [兔] SJIS-Mobile#DOCOMO [兔] SJIS-Mobile#KDDI [兔] SJIS-Mobile#SOFTBANK [兔] SJIS-mac [兔] SJIS-2004 [兔] CP932 [兔] GB18030 [橽] CP936 [橽] BIG-5 [?\] CP950 [] UHC [?]
0x9A27   0x9A5C 0x27   UCS-2 [驜] UCS-2BE [驜] UCS-2LE [岚] UTF-16 [驜] UTF-16BE [驜] UTF-16LE [岚] SJIS [喀] SJIS-win [喀] SJIS-Mobile#DOCOMO [喀] SJIS-Mobile#KDDI [喀] SJIS-Mobile#SOFTBANK [喀] SJIS-mac [喀] SJIS-2004 [喀] CP932 [喀] GB18030 [歕] CP936 [歕] BIG-5 [?\] CP950 [] UHC [?]
0x9B27   0x9B5C 0x27   UCS-2 [魜] UCS-2BE [魜] UCS-2LE [岛] UTF-16 [魜] UTF-16BE [魜] UTF-16LE [岛] SJIS [媾] SJIS-win [媾] SJIS-Mobile#DOCOMO [媾] SJIS-Mobile#KDDI [媾] SJIS-Mobile#SOFTBANK [媾] SJIS-mac [媾] SJIS-2004 [媾] CP932 [媾] GB18030 [沑] CP936 [沑] BIG-5 [?\] CP950 [] UHC [?]
0x9C27   0x9C5C 0x27   UCS-2 [鱜] UCS-2BE [鱜] UCS-2LE [岜] UTF-16 [鱜] UTF-16BE [鱜] UTF-16LE [岜] SJIS [彌] SJIS-win [彌] SJIS-Mobile#DOCOMO [彌] SJIS-Mobile#KDDI [彌] SJIS-Mobile#SOFTBANK [彌] SJIS-mac [彌] SJIS-2004 [彌] CP932 [彌] GB18030 [淺] CP936 [淺] BIG-5 [?\] CP950 [] UHC [?]
0x9D27   0x9D5C 0x27   UCS-2 [鵜] UCS-2BE [鵜] UCS-2LE [岝] UTF-16 [鵜] UTF-16BE [鵜] UTF-16LE [岝] SJIS [拿] SJIS-win [拿] SJIS-Mobile#DOCOMO [拿] SJIS-Mobile#KDDI [拿] SJIS-Mobile#SOFTBANK [拿] SJIS-mac [拿] SJIS-2004 [拿] CP932 [拿] GB18030 [漒] CP936 [漒] BIG-5 [?\] CP950 [] UHC [?]
0x9E27   0x9E5C 0x27   UCS-2 [鹜] UCS-2BE [鹜] UCS-2LE [岞] UTF-16 [鹜] UTF-16BE [鹜] UTF-16LE [岞] SJIS [杤] SJIS-win [杤] SJIS-Mobile#DOCOMO [杤] SJIS-Mobile#KDDI [杤] SJIS-Mobile#SOFTBANK [杤] SJIS-mac [杤] SJIS-2004 [杤] CP932 [杤] GB18030 [瀄] CP936 [瀄] BIG-5 [?\] CP950 [] UHC [?]
0x9F27   0x9F5C 0x27   UCS-2 [齜] UCS-2BE [齜] UCS-2LE [岟] UTF-16 [齜] UTF-16BE [齜] UTF-16LE [岟] SJIS [歃] SJIS-win [歃] SJIS-Mobile#DOCOMO [歃] SJIS-Mobile#KDDI [歃] SJIS-Mobile#SOFTBANK [歃] SJIS-mac [歃] SJIS-2004 [歃] CP932 [歃] GB18030 [焅] CP936 [焅] BIG-5 [?\] CP950 [] UHC [?]
0xA027   0xA05C 0x27   UCS-2 [ꁜ] UCS-2BE [ꁜ] UCS-2LE [岠] UTF-16 [ꁜ] UTF-16BE [ꁜ] UTF-16LE [岠] GB18030 [燶] CP936 [燶] BIG-5 [?\] CP950 [] UHC [?]
0xA127   0xA15C 0x27   UCS-2 [ꅜ] UCS-2BE [ꅜ] UCS-2LE [岡] UTF-16 [ꅜ] UTF-16BE [ꅜ] UTF-16LE [岡] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [] EUC-CN [?] CP936 [] EUC-TW [?] BIG-5 [﹏] CP950 [﹏] EUC-KR [?] UHC [?]
0xA227   0xA25C 0x27   UCS-2 [ꉜ] UCS-2BE [ꉜ] UCS-2LE [岢] UTF-16 [ꉜ] UTF-16BE [ꉜ] UTF-16LE [岢] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [] EUC-CN [?] CP936 [] EUC-TW [?] BIG-5 [兝] CP950 [兝] EUC-KR [?] UHC [?]
0xA327   0xA35C 0x27   UCS-2 [ꍜ] UCS-2BE [ꍜ] UCS-2LE [岣] UTF-16 [ꍜ] UTF-16BE [ꍜ] UTF-16LE [岣] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [] EUC-CN [?] CP936 [] EUC-TW [?] BIG-5 [α] CP950 [α] EUC-KR [?] UHC [?]
0xA427   0xA45C 0x27   UCS-2 [ꑜ] UCS-2BE [ꑜ] UCS-2LE [岤] UTF-16 [ꑜ] UTF-16BE [ꑜ] UTF-16LE [岤] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [] EUC-CN [?] CP936 [] EUC-TW [?] BIG-5 [么] CP950 [么] EUC-KR [?] UHC [?]
0xA527   0xA55C 0x27   UCS-2 [ꕜ] UCS-2BE [ꕜ] UCS-2LE [岥] UTF-16 [ꕜ] UTF-16BE [ꕜ] UTF-16LE [岥] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [] EUC-CN [?] CP936 [] EUC-TW [?] BIG-5 [功] CP950 [功] EUC-KR [?] UHC [?]
0xA627   0xA65C 0x27   UCS-2 [Ꙝ] UCS-2BE [Ꙝ] UCS-2LE [岦] UTF-16 [Ꙝ] UTF-16BE [Ꙝ] UTF-16LE [岦] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [] EUC-CN [?] CP936 [] EUC-TW [?] BIG-5 [吒] CP950 [吒] EUC-KR [?] UHC [?]
0xA727   0xA75C 0x27   UCS-2 [Ꝝ] UCS-2BE [Ꝝ] UCS-2LE [岧] UTF-16 [Ꝝ] UTF-16BE [Ꝝ] UTF-16LE [岧] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [] EUC-CN [?] CP936 [] EUC-TW [?] BIG-5 [吭] CP950 [吭] EUC-KR [?] UHC [?]
0xA827   0xA85C 0x27   UCS-2 [ꡜ] UCS-2BE [ꡜ] UCS-2LE [岨] UTF-16 [ꡜ] UTF-16BE [ꡜ] UTF-16LE [岨] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [╘] EUC-CN [?] CP936 [╘] EUC-TW [?] BIG-5 [沔] CP950 [沔] EUC-KR [?] UHC [?]
0xA927   0xA95C 0x27   UCS-2 [꥜] UCS-2BE [꥜] UCS-2LE [岩] UTF-16 [꥜] UTF-16BE [꥜] UTF-16LE [岩] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [‐] EUC-CN [?] CP936 [‐] EUC-TW [?] BIG-5 [坼] CP950 [坼] EUC-KR [?] UHC [?]
0xAA27   0xAA5C 0x27   UCS-2 [꩜] UCS-2BE [꩜] UCS-2LE [岪] UTF-16 [꩜] UTF-16BE [꩜] UTF-16LE [岪] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [猏] EUC-CN [?] CP936 [猏] EUC-TW [?] BIG-5 [歿] CP950 [歿] EUC-KR [?] UHC [?]
0xAB27   0xAB5C 0x27   UCS-2 [ꭜ] UCS-2BE [ꭜ] UCS-2LE [岫] UTF-16 [ꭜ] UTF-16BE [ꭜ] UTF-16LE [岫] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [玕] EUC-CN [?] CP936 [玕] EUC-TW [?] BIG-5 [俞] CP950 [俞] EUC-KR [?] UHC [?]
0xAC27   0xAC5C 0x27   UCS-2 [걜] UCS-2BE [걜] UCS-2LE [岬] UTF-16 [걜] UTF-16BE [걜] UTF-16LE [岬] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [琝] EUC-CN [?] CP936 [琝] EUC-TW [?] BIG-5 [枯] CP950 [枯] EUC-KR [?] UHC [?]
0xAD27   0xAD5C 0x27   UCS-2 [굜] UCS-2BE [굜] UCS-2LE [岭] UTF-16 [굜] UTF-16BE [굜] UTF-16LE [岭] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [璡] EUC-CN [?] CP936 [璡] EUC-TW [?] BIG-5 [苒] CP950 [苒] EUC-KR [?] UHC [?]
0xAE27   0xAE5C 0x27   UCS-2 [깜] UCS-2BE [깜] UCS-2LE [岮] UTF-16 [깜] UTF-16BE [깜] UTF-16LE [岮] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [甛] EUC-CN [?] CP936 [甛] EUC-TW [?] BIG-5 [娉] CP950 [娉] EUC-KR [?] UHC [?]
0xAF27   0xAF5C 0x27   UCS-2 [꽜] UCS-2BE [꽜] UCS-2LE [岯] UTF-16 [꽜] UTF-16BE [꽜] UTF-16LE [岯] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [痋] EUC-CN [?] CP936 [痋] EUC-TW [?] BIG-5 [珮] CP950 [珮] EUC-KR [?] UHC [?]
0xB027   0xB05C 0x27   UCS-2 [끜] UCS-2BE [끜] UCS-2LE [岰] UTF-16 [끜] UTF-16BE [끜] UTF-16LE [岰] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [癨] EUC-CN [?] CP936 [癨] EUC-TW [?] BIG-5 [豹] CP950 [豹] EUC-KR [?] UHC [?]
0xB127   0xB15C 0x27   UCS-2 [녜] UCS-2BE [녜] UCS-2LE [岱] UTF-16 [녜] UTF-16BE [녜] UTF-16LE [岱] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [盶] EUC-CN [?] CP936 [盶] EUC-TW [?] BIG-5 [崤] CP950 [崤] EUC-KR [?] UHC [?]
0xB227   0xB25C 0x27   UCS-2 [뉜] UCS-2BE [뉜] UCS-2LE [岲] UTF-16 [뉜] UTF-16BE [뉜] UTF-16LE [岲] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [瞈] EUC-CN [?] CP936 [瞈] EUC-TW [?] BIG-5 [淚] CP950 [淚] EUC-KR [?] UHC [?]
0xB327   0xB35C 0x27   UCS-2 [덜] UCS-2BE [덜] UCS-2LE [岳] UTF-16 [덜] UTF-16BE [덜] UTF-16LE [岳] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [砛] EUC-CN [?] CP936 [砛] EUC-TW [?] BIG-5 [許] CP950 [許] EUC-KR [?] UHC [?]
0xB427   0xB45C 0x27   UCS-2 [둜] UCS-2BE [둜] UCS-2LE [岴] UTF-16 [둜] UTF-16BE [둜] UTF-16LE [岴] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [碶] EUC-CN [?] CP936 [碶] EUC-TW [?] BIG-5 [廄] CP950 [廄] EUC-KR [?] UHC [?]
0xB527   0xB55C 0x27   UCS-2 [땜] UCS-2BE [땜] UCS-2LE [岵] UTF-16 [땜] UTF-16BE [땜] UTF-16LE [岵] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [礬] EUC-CN [?] CP936 [礬] EUC-TW [?] BIG-5 [琵] CP950 [琵] EUC-KR [?] UHC [?]
0xB627   0xB65C 0x27   UCS-2 [뙜] UCS-2BE [뙜] UCS-2LE [岶] UTF-16 [뙜] UTF-16BE [뙜] UTF-16LE [岶] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [禱] EUC-CN [?] CP936 [禱] EUC-TW [?] BIG-5 [跚] CP950 [跚] EUC-KR [?] UHC [?]
0xB727   0xB75C 0x27   UCS-2 [띜] UCS-2BE [띜] UCS-2LE [岷] UTF-16 [띜] UTF-16BE [띜] UTF-16LE [岷] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [穃] EUC-CN [?] CP936 [穃] EUC-TW [?] BIG-5 [愧] CP950 [愧] EUC-KR [?] UHC [?]
0xB827   0xB85C 0x27   UCS-2 [로] UCS-2BE [로] UCS-2LE [岸] UTF-16 [로] UTF-16BE [로] UTF-16LE [岸] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [竆] EUC-CN [?] CP936 [竆] EUC-TW [?] BIG-5 [稞] CP950 [稞] EUC-KR [?] UHC [?]
0xB927   0xB95C 0x27   UCS-2 [륜] UCS-2BE [륜] UCS-2LE [岹] UTF-16 [륜] UTF-16BE [륜] UTF-16LE [岹] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [筡] EUC-CN [?] CP936 [筡] EUC-TW [?] BIG-5 [鈾] CP950 [鈾] EUC-KR [?] UHC [?]
0xBA27   0xBA5C 0x27   UCS-2 [멜] UCS-2BE [멜] UCS-2LE [岺] UTF-16 [멜] UTF-16BE [멜] UTF-16LE [岺] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [篭] EUC-CN [?] CP936 [篭] EUC-TW [?] BIG-5 [暝] CP950 [暝] EUC-KR [?] UHC [?]
0xBB27   0xBB5C 0x27   UCS-2 [뭜] UCS-2BE [뭜] UCS-2LE [岻] UTF-16 [뭜] UTF-16BE [뭜] UTF-16LE [岻] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [籠] EUC-CN [?] CP936 [籠] EUC-TW [?] BIG-5 [蓋] CP950 [蓋] EUC-KR [?] UHC [?]
0xBC27   0xBC5C 0x27   UCS-2 [뱜] UCS-2BE [뱜] UCS-2LE [岼] UTF-16 [뱜] UTF-16BE [뱜] UTF-16LE [岼] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [糪] EUC-CN [?] CP936 [糪] EUC-TW [?] BIG-5 [墦] CP950 [墦] EUC-KR [?] UHC [?]
0xBD27   0xBD5C 0x27   UCS-2 [뵜] UCS-2BE [뵜] UCS-2LE [岽] UTF-16 [뵜] UTF-16BE [뵜] UTF-16LE [岽] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [絓] EUC-CN [?] CP936 [絓] EUC-TW [?] BIG-5 [穀] CP950 [穀] EUC-KR [?] UHC [?]
0xBE27   0xBE5C 0x27   UCS-2 [빜] UCS-2BE [빜] UCS-2LE [岾] UTF-16 [빜] UTF-16BE [빜] UTF-16LE [岾] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [綷] EUC-CN [?] CP936 [綷] EUC-TW [?] BIG-5 [閱] CP950 [閱] EUC-KR [?] UHC [?]
0xBF27   0xBF5C 0x27   UCS-2 [뽜] UCS-2BE [뽜] UCS-2LE [岿] UTF-16 [뽜] UTF-16BE [뽜] UTF-16LE [岿] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [縗] EUC-CN [?] CP936 [縗] EUC-TW [?] BIG-5 [璞] CP950 [璞] EUC-KR [?] UHC [?]
0xC027   0xC05C 0x27   UCS-2 [쁜] UCS-2BE [쁜] UCS-2LE [峀] UTF-16 [쁜] UTF-16BE [쁜] UTF-16LE [峀] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [繺] EUC-CN [?] CP936 [繺] EUC-TW [?] BIG-5 [餐] CP950 [餐] EUC-KR [?] UHC [?]
0xC127   0xC15C 0x27   UCS-2 [셜] UCS-2BE [셜] UCS-2LE [峁] UTF-16 [셜] UTF-16BE [셜] UTF-16LE [峁] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] CP51932 [?] GB18030 [羂] EUC-CN [?] CP936 [羂] EUC-TW [?] BIG-5 [縷] CP950 [縷] EUC-KR [?] UHC [?]
0xC227   0xC25C 0x27   UCS-2 [쉜] UCS-2BE [쉜] UCS-2LE [峂] UTF-16 [쉜] UTF-16BE [쉜] UTF-16LE [峂] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [耚] EUC-CN [?] CP936 [耚] EUC-TW [?] BIG-5 [擺] CP950 [擺] EUC-KR [?] UHC [?]
0xC327   0xC35C 0x27   UCS-2 [썜] UCS-2BE [썜] UCS-2LE [峃] UTF-16 [썜] UTF-16BE [썜] UTF-16LE [峃] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [肻] EUC-CN [?] CP936 [肻] EUC-TW [?] BIG-5 [黠] CP950 [黠] EUC-KR [?] UHC [?]
0xC427   0xC45C 0x27   UCS-2 [쑜] UCS-2BE [쑜] UCS-2LE [峄] UTF-16 [쑜] UTF-16BE [쑜] UTF-16LE [峄] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [腬] EUC-CN [?] CP936 [腬] EUC-TW [?] BIG-5 [孀] CP950 [孀] EUC-KR [?] UHC [?]
0xC527   0xC55C 0x27   UCS-2 [앜] UCS-2BE [앜] UCS-2LE [峅] UTF-16 [앜] UTF-16BE [앜] UTF-16LE [峅] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [臷] EUC-CN [?] CP936 [臷] EUC-TW [?] BIG-5 [髏] CP950 [髏] EUC-KR [?] UHC [?]
0xC627   0xC65C 0x27   UCS-2 [왜] UCS-2BE [왜] UCS-2LE [峆] UTF-16 [왜] UTF-16BE [왜] UTF-16LE [峆] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [芢] EUC-CN [?] CP936 [芢] EUC-TW [?] BIG-5 [躡] CP950 [躡] EUC-KR [?] UHC [?]
0xC727   0xC75C 0x27   UCS-2 [읜] UCS-2BE [읜] UCS-2LE [峇] UTF-16 [읜] UTF-16BE [읜] UTF-16LE [峇] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [荺] EUC-CN [?] CP936 [荺] EUC-TW [?] BIG-5 [] CP950 [] EUC-KR [?] UHC [?]
